Date, Status, Repeat, Weight, Elbow Angle, Current, Ring
2025-09-02 09:55:24.980,,1,2,3,4,0
2025-09-02 09:55:24.980,Extension,0,-142.45,169.40,99.5300,0
2025-09-02 09:55:24.980,Extension,0,-144.97,169.40,131.8100,0
2025-09-02 09:55:24.980,Extension,0,-145.43,169.40,102.2200,0
2025-09-02 09:55:24.980,Extension,0,-147.56,169.40,99.5300,0
2025-09-02 09:55:24.980,Extension,0,-146.41,169.40,99.5300,0
2025-09-02 09:55:24.980,Extension,0,-144.71,169.40,99.5300,0
2025-09-02 09:55:24.980,Extension,0,-143.82,169.40,99.5300,0
2025-09-02 09:55:24.980,Extension,0,-143.28,169.40,99.5300,0
2025-09-02 09:55:24.980,Extension,0,-143.28,169.40,99.5300,0
2025-09-02 09:55:24.980,Extension,0,-146.10,169.40,99.5300,0
2025-09-02 09:55:24.980,Extension,0,-149.57,169.40,99.5300,0
2025-09-02 09:55:24.980,Extension,0,-149.57,169.40,99.5300,0
2025-09-02 09:55:24.980,Extension,0,-62.39,169.58,56.4900,0
2025-09-02 09:55:24.980,Extension,0,-63.38,169.66,48.4200,0
2025-09-02 09:55:24.997,Extension,0,-63.02,169.66,51.1100,0
2025-09-02 09:55:25.034,Extension,0,-64.42,169.66,56.4900,0
2025-09-02 09:55:25.079,Extension,0,-64.32,169.66,48.4200,0
2025-09-02 09:55:25.148,Extension,0,-63.69,169.66,51.1100,0
2025-09-02 09:55:25.185,Extension,0,-64.85,169.66,48.4200,0
2025-09-02 09:55:25.236,Extension,0,-64.32,169.66,48.4200,0
2025-09-02 09:55:25.268,Extension,0,-64.99,169.66,51.1100,0
2025-09-02 09:55:25.327,Extension,0,-64.38,169.66,48.4200,0
2025-09-02 09:55:25.377,Extension,0,-62.92,169.66,48.4200,0
2025-09-02 09:55:25.478,Extension,0,-64.08,169.66,48.4200,0
2025-09-02 09:55:25.480,Extension,0,-62.85,169.58,48.4200,0
2025-09-02 09:55:25.509,Extension,0,-62.26,169.58,51.1100,0
